"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Didi Gregorius","PHI","134","566","515","134","24","3","24","69","81","38","82","6","6","3","",".260",".316",".457",".774",".323","","97","0.3","-1.5","","-1.7","5.2","2.1","","164.3","6012"
"Mike Moustakas","CIN","150","638","568","143","27","1","36","85","102","55","121","8","3","1","",".252",".324",".493",".817",".339","","105","-2.0","-2.9","","2.4","-1.5","2.1","","118.7","4892"
"Joey Gallo","TEX","150","638","532","112","22","1","39","85","95","93","231","6","6","3","",".211",".333",".477",".810",".338","","102","0.8","4.7","","2.2","-3.2","2.1","","142.6","14128"
"Alejandro Kirk","TOR","96","382","340","99","22","1","13","51","51","33","56","4","3","1","",".291",".357",".479",".836",".352","","121","-0.3","-0.2","","9.8","0.7","2.1","","285.1","22581"
"Eugenio Suarez","CIN","150","655","560","136","23","1","35","89","97","79","179","9","3","2","",".242",".343",".477",".820",".344","","109","-1.7","-12.4","","5.8","-5.8","2.1","","63.5","12552"
"Jean Segura","PHI","136","589","537","151","28","3","15","73","69","39","85","6","9","4","",".281",".335",".428",".763",".323","","98","1.2","-0.4","","-0.6","2.5","2.0","","194.2","5933"
"Willson Contreras","CHC","102","430","369","93","19","2","17","54","57","44","106","12","3","1","",".252",".347",".447",".794",".337","","108","-1.1","0.5","","3.3","8.4","2.0","","120.3","11609"
"Dansby Swanson","ATL","149","642","564","141","30","3","20","82","73","62","153","6","11","4","",".251",".329",".419",".748",".318","","93","1.2","-3.0","","-5.1","4.5","2.0","","110.4","18314"
"Mark Canha","OAK","139","587","500","121","25","3","22","72","73","66","137","15","4","2","",".242",".345",".434",".779",".333","","111","-0.5","0.2","","7.9","-8.8","1.9","","265.1","11445"
"Jeimer Candelario","DET","147","628","545","134","29","5","22","76","76","68","156","8","4","2","",".245",".335",".435",".770",".328","","102","-0.4","-0.8","","1.1","-3.6","1.9","","285.1","13621"
