"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Dexter Fowler","LAA","99","389","338","76","15","1","12","48","45","44","102","5","2",".224",".319",".383",".702",".302","593.4","","2.94","3.28","0.47","4062"
"Cameron Maybin","NYM","18","57","51","12","2","0","1","7","5","5","14","2","0",".242",".319",".370",".689",".302","999.0","","3.95","1.05","1.86","5223"
"Oneil Cruz","PIT","9","34","31","8","2","0","1","3","4","3","9","1","0",".246",".307",".385",".692",".302","999.0","","4.96","1.02","1.92","sa917318"
"Jace Peterson","MIL","7","24","21","5","1","0","1","3","2","3","6","1","0",".234",".329",".368",".697",".302","999.0","","2.76","3.64","1.95","12325"
"Dom Nunez","COL","56","219","193","42","8","1","8","24","24","21","62","2","1",".218",".300",".400",".700",".302","580.3","","2.46","-0.54","1.09","15055"
"Stuart Fairchild","ARI","9","39","35","8","2","0","1","4","4","3","9","1","0",".239",".311",".378",".690",".302","999.0","","2.55","2.90","1.90","sa829822"
"Jed Lowrie","OAK","56","228","204","49","12","1","6","27","25","22","47","1","0",".241",".316",".390",".705",".301","598.3","","5.37","-0.69","1.09","4418"
"Yadiel Hernandez","WSN","13","49","44","11","2","0","2","6","6","4","14","0","0",".244",".306",".394",".700",".301","999.0","","4.50","3.19","1.83","19334"
"Zack Cozart","","11","46","41","10","2","0","1","5","5","3","8","0","0",".238",".307",".387",".693",".301","999.0","","1.89","3.05","1.84","2616"
"Elias Diaz","COL","92","327","301","78","15","0","7","32","35","22","59","1","0",".260",".312",".378",".690",".301","377.5","","5.10","-0.41","1.04","11680"
"Welington Castillo","WSN","14","55","51","12","2","0","2","6","7","4","16","0","0",".232",".288",".413",".701",".301","999.0","","3.10","3.00","1.78","3256"
"Josh Fuentes","COL","93","367","346","90","20","2","9","42","46","14","98","3","1",".260",".294",".410",".703",".301","547.8","","7.85","-0.69","0.78","16885"
"Brandon Crawford","SFG","129","509","457","110","24","2","13","56","58","42","115","3","2",".241",".310",".389",".699",".301","573.0","","2.34","-0.59","0.18","5343"
"Kevin Pillar","NYM","85","338","317","80","18","1","10","42","39","15","59","7","2",".252",".292",".410",".702",".301","547.0","","6.10","1.12","0.91","12434"
"Tyler Flowers","","29","108","94","21","4","0","3","12","12","10","38","0","0",".219",".312",".373",".685",".301","600.8","","1.88","1.04","1.52","9134"
"Hanser Alberto","KCR","80","333","314","88","16","1","5","37","32","10","37","3","1",".280",".307",".388",".695",".301","585.0","","5.23","-0.15","1.34","11902"
"Cristian Pache","ATL","127","504","468","119","25","4","11","56","52","30","132","6","4",".254",".302",".394",".696",".301","999.0","","5.28","-0.13","0.46","19948"
"Rylan Bannon","BAL","21","84","76","18","4","0","2","9","9","7","19","1","0",".236",".307",".384",".691",".301","600.9","","4.05","2.43","1.71","sa3004162"
"Andrew Waters","ATL","15","64","59","15","4","1","1","7","6","4","19","2","0",".250",".300",".397",".697",".301","596.8","","4.44","2.52","1.83","sa3004378"
"Todd Frazier","","63","238","212","48","10","0","8","26","27","20","53","2","1",".227",".306",".386",".691",".301","598.8","","5.22","-0.03","1.02","785"
"Zach McKinstry","LAD","30","106","97","23","5","1","3","13","12","8","27","1","1",".237",".300",".393",".693",".301","600.3","","2.15","1.42","1.59","19392"
"Danny Mendick","CHW","56","210","189","46","8","1","5","23","20","17","45","3","2",".243",".312",".373",".684",".300","600.9","","5.93","0.24","1.33","18889"
"Phillip Ervin","ATL","19","55","48","11","2","0","1","6","6","5","14","1","0",".234",".320",".358",".677",".300","999.0","","5.51","1.29","1.82","14738"
"Tony Kemp","OAK","86","291","255","62","12","2","4","35","23","27","43","7","3",".244",".323",".355",".679",".300","599.6","","3.84","0.98","1.26","14894"
"Rio Ruiz","COL","96","376","339","80","16","1","12","40","45","32","82","1","1",".235",".303",".392",".695",".300","586.1","","6.36","-0.49","0.49","14103"
"LaMonte Wade Jr.","SFG","13","49","42","10","2","0","1","6","4","6","9","1","0",".232",".331",".334",".666",".300","999.0","","2.48","2.28","1.87","18126"
"Tyler Naquin","CIN","49","180","169","44","7","1","5","21","24","8","49","1","1",".263",".299",".398",".697",".300","600.6","","5.45","0.22","1.40","13359"
"Yairo Munoz","BOS","12","43","41","11","2","0","1","5","4","2","10","2","0",".260",".298",".399",".697",".300","600.7","","5.01","3.17","1.92","16313"
"Oscar Mercado","CLE","69","265","240","59","12","1","7","32","25","17","58","10","3",".247",".302",".390",".692",".300","515.7","","5.57","0.41","1.39","16375"
"Kevin Newman","PIT","122","508","467","125","23","3","6","52","44","30","66","9","5",".267",".316",".370",".685",".300","517.9","","5.90","-1.00","1.04","17696"
"Jake Lamb","CHW","21","81","70","15","3","0","3","9","10","9","22","0","0",".216",".311",".390",".700",".300","596.9","","3.56","2.09","1.63","13329"
"Robel Garcia","HOU","17","67","60","13","3","0","3","9","9","6","24","1","0",".213",".287",".413",".699",".300","999.0","","5.05","2.43","1.67","13167"
"Niko Goodrum","DET","102","426","382","87","19","3","12","48","45","39","135","13","3",".228",".301",".390",".690",".299","544.1","","4.69","-0.16","1.03","12092"
"Keibert Ruiz","LAD","10","40","37","9","2","0","1","4","5","2","5","0","0",".255",".309",".378",".687",".299","598.4","","3.55","3.63","1.88","19610"
"Leury Garcia","CHW","93","381","354","94","15","2","7","46","35","17","79","7","3",".265",".306",".383",".688",".299","590.1","","3.74","0.43","1.07","5913"
"Anderson Tejeda","TEX","36","137","128","31","6","1","4","15","15","8","46","5","1",".240",".287",".411",".698",".299","598.0","","6.78","0.63","1.61","19909"
"Tyrone Taylor","MIL","34","104","96","22","5","0","4","11","12","6","24","1","0",".234",".285",".412",".697",".299","600.6","","5.34","1.41","1.61","13675"
"Jonathan Villar","NYM","90","364","327","79","13","1","9","44","33","32","96","20","6",".242",".312",".371",".683",".299","243.5","","5.41","0.54","1.69","10071"
"Max Stassi","LAA","88","316","278","62","11","0","11","32","37","29","83","0","0",".223",".303",".381",".684",".299","424.3","","2.26","0.51","0.67","10059"
"Jarren Duran","BOS","44","185","171","45","9","2","2","23","15","11","44","11","2",".261",".311",".375",".685",".298","570.1","","4.50","2.30","1.82","sa3006786"
"Tyler Heineman","STL","12","43","39","9","2","0","1","4","4","3","7","0","0",".242",".299",".388",".687",".298","999.0","","2.17","0.54","1.88","13897"
"Luis Gonzalez","CHW","12","28","25","6","1","0","1","3","3","2","9","0","0",".224",".310",".363",".673",".298","999.0","","3.36","2.92","1.91","20332"
"Joe Panik","TOR","30","120","107","27","5","0","2","15","11","11","17","1","0",".251",".324",".359",".683",".298","599.6","","2.54","2.30","1.61","11936"
"Jason Castro","HOU","71","263","230","48","11","0","9","30","29","29","88","0","0",".210",".303",".380",".683",".298","577.7","","3.75","0.36","0.76","8722"
"Vidal Brujan","TBR","17","72","65","17","3","1","1","9","7","6","12","5","1",".253",".318",".359",".677",".298","999.0","","5.00","4.32","1.93","sa872786"
"Austin Barnes","LAD","68","246","212","47","9","1","5","30","25","27","59","4","1",".224",".321",".352",".672",".298","560.9","","1.34","-0.07","1.07","12158"
"Tucker Barnhart","CIN","105","379","334","77","15","1","11","37","41","40","85","1","1",".230",".315",".378",".692",".298","549.8","","2.26","-0.64","0.53","10200"
"Stephen Vogt","ARI","50","180","162","37","9","1","6","18","21","14","40","1","1",".231",".294",".403",".697",".298","599.5","","1.29","-0.98","1.28","5000"
"Shed Long","SEA","57","229","207","48","10","1","6","26","22","19","62","6","2",".233",".302",".378",".681",".298","599.8","","2.24","1.63","1.27","16542"
"Kyle Higashioka","NYY","57","205","192","43","8","0","11","23","30","10","53","0","0",".223",".266",".438",".705",".297","565.6","","2.85","0.50","1.01","5517"
"Isiah Kiner-Falefa","TEX","141","571","519","135","23","4","7","65","45","38","94","14","5",".259",".317",".357",".675",".297","305.5","","3.29","-0.37","1.14","16512"
"Logan Forsythe","MIL","17","65","57","13","3","0","1","7","6","7","17","0","0",".225",".319",".356",".676",".297","999.0","","0.87","-0.38","1.76","7185"
"Isan Diaz","MIA","48","174","155","34","7","1","5","20","19","17","49","2","1",".220",".303",".375",".679",".297","599.0","","3.88","1.79","1.26","17922"
"Chris Owings","COL","40","144","133","31","6","1","4","16","15","10","42","3","1",".237",".293",".394",".687",".297","599.1","","3.42","2.05","1.53","10030"
"Lane Thomas","STL","31","107","97","22","4","1","3","12","12","9","30","2","1",".225",".296",".387",".683",".297","598.0","","3.01","1.15","1.60","16939"
"Daniel Robertson","MIL","40","145","126","29","6","1","2","15","13","15","36","1","1",".234",".330",".344",".674",".297","999.0","","2.70","-0.55","1.50","14145"
"Heliot Ramos","SFG","24","98","89","21","4","0","3","11","11","7","29","1","1",".238",".300",".386",".685",".297","999.0","","3.65","2.48","1.66","sa3004693"
"Odubel Herrera","PHI","51","207","189","45","9","1","6","24","24","15","46","2","1",".239",".300",".386",".687",".297","553.3","","6.22","1.60","1.21","11476"
"Jose Marmolejos","SEA","54","207","190","44","9","0","7","22","25","14","54","0","0",".232",".289",".399",".688",".297","599.9","","5.76","0.80","1.13","15767"
"Edward Olivares","KCR","55","209","194","48","9","1","5","24","22","11","45","5","2",".249",".297",".390",".687",".297","593.4","","5.55","0.74","1.39","19698"
"Freddy Galvis","BAL","125","493","455","109","20","2","16","53","53","31","105","4","2",".240",".293",".398",".692",".297","546.3","","3.59","-0.03","0.34","6609"
"Jake Marisnick","CHC","73","230","210","49","10","1","8","31","26","14","71","5","2",".232",".290",".407",".697",".296","600.5","","3.08","0.18","1.09","11339"
"Kevin Kiermaier","TBR","119","460","416","96","18","6","12","55","51","36","112","18","5",".230",".299",".388",".688",".296","540.8","","2.56","0.29","1.28","11038"
"Austin Allen","OAK","10","35","32","8","2","0","1","4","4","2","9","0","0",".234",".286",".403",".689",".296","600.4","","4.50","2.65","1.88","18083"
"Tom Murphy","SEA","94","359","331","74","14","1","15","37","44","23","119","2","1",".223",".279",".413",".692",".296","345.6","","1.82","2.30","0.63","13499"
"Elvis Andrus","OAK","135","568","525","133","27","3","12","65","55","35","85","18","6",".253",".302",".380",".682",".296","389.5","","3.75","-0.22","1.06","8709"
"Gregory Polanco","PIT","114","454","407","88","21","2","18","50","58","40","136","8","2",".218",".290",".409",".699",".296","417.0","","5.19","-1.01","0.83","12907"
"Brock Holt","TEX","82","309","272","65","12","1","4","33","27","30","66","3","1",".241",".323",".339",".662",".296","600.1","","2.94","-1.14","0.99","9345"
"Jacob Stallings","PIT","102","375","337","82","17","0","8","37","39","29","89","0","1",".245",".309",".370",".679",".296","497.0","","2.30","0.75","0.69","13723"
"Ildemaro Vargas","ARI","25","88","82","22","4","1","1","9","9","5","11","1","0",".265",".307",".372",".679",".296","999.0","","3.21","2.63","1.78","13324"
"Scott Heineman","CIN","8","31","29","7","1","0","1","4","3","2","9","1","0",".242",".303",".372",".675",".295","999.0","","3.73","3.22","1.93","14453"
"Caleb Raleigh","SEA","7","30","27","6","1","0","1","3","4","2","9","0","0",".222",".285",".405",".690",".295","999.0","","5.18","3.86","1.89","sa3008377"
"Jonah Heim","TEX","48","181","165","40","8","0","4","19","20","14","29","0","0",".245",".308",".365",".673",".295","593.1","","2.26","0.09","1.34","16930"
"Matt Davidson","LAD","11","33","30","7","1","0","2","3","5","2","10","0","0",".217",".278",".408",".687",".295","999.0","","11.45","0.62","1.86","7226"
"Dustin Fowler","PIT","56","229","213","52","11","2","6","26","25","12","57","5","1",".244",".288",".400",".688",".295","600.6","","7.05","-0.32","1.25","17098"
"Troy Stokes Jr.","PIT","9","33","29","6","1","0","1","4","3","3","9","1","0",".213",".303",".364",".666",".295","999.0","","6.74","0.62","1.90","17478"
"Jo Adell","LAA","81","329","303","70","16","1","10","37","34","22","108","3","1",".232",".290",".391",".680",".295","465.0","","5.08","0.79","0.74","20220"
"Kevan Smith","ATL","12","40","36","9","2","0","1","4","4","3","8","0","0",".252",".314",".352",".665",".295","999.0","","2.05","2.27","1.90","12284"
"Luis Garcia","WSN","76","304","289","78","14","1","5","35","29","12","57","4","2",".269",".300",".380",".680",".294","588.9","","7.71","0.47","1.26","20391"
"Abraham Almonte","ATL","16","42","38","8","2","0","1","5","3","4","11","2","0",".214",".296",".377",".673",".294","999.0","","3.42","2.19","1.88","5486"
"Francisco Mejia","TBR","68","238","220","52","11","1","8","26","26","13","51","0","0",".238",".291",".399",".691",".294","505.6","","1.85","0.32","1.06","16403"
"Josh Harrison","WSN","83","314","284","70","13","1","7","34","31","19","55","4","2",".248",".306",".378",".684",".294","589.8","","2.39","-1.59","1.00","8202"
"Kyle Garlick","MIN","28","97","90","20","5","0","4","11","12","6","33","0","0",".221",".277",".408",".685",".294","600.3","","2.99","0.93","1.55","18063"
"Joey Bart","SFG","38","145","135","32","6","1","4","17","15","7","43","0","0",".241",".289",".391",".680",".294","533.3","","2.92","0.57","1.45","21524"
"Pat Valaika","BAL","64","215","201","47","9","1","8","24","22","12","55","1","1",".234",".280",".405",".684",".294","572.9","","4.65","2.38","1.14","14885"
"Mark Trumbo","","7","25","23","5","1","0","1","3","3","2","6","0","0",".226",".278",".406",".684",".294","999.0","","7.55","1.39","1.91","6876"
"Taylor Trammell","SEA","88","351","308","69","12","2","7","38","31","37","93","11","3",".225",".313",".346",".660",".294","499.5","","4.61","0.72","1.17","19960"
"Yadier Molina","STL","93","366","339","87","15","0","9","36","43","18","53","2","1",".257",".302",".384",".686",".293","267.6","","1.21","-0.35","0.85","7007"
"Matt Duffy","CHC","11","47","42","11","2","0","0","5","4","4","8","0","0",".253",".319",".343",".661",".293","999.0","","3.60","3.83","1.89","13836"
"Kyle Farmer","CIN","62","198","182","44","10","1","5","20","21","12","45","2","1",".241",".296",".380",".675",".293","596.5","","2.83","0.59","1.35","14813"
"Myles Straw","HOU","121","454","409","104","17","3","3","55","36","41","96","28","7",".254",".325",".331",".655",".293","261.3","","3.50","-0.49","2.20","17620"
"Adam Engel","CHW","89","313","288","68","14","2","8","35","31","17","83","6","2",".237",".292",".383",".674",".293","593.8","","2.57","-0.06","0.98","15082"
"Eric Sogard","CHC","37","145","128","31","6","0","2","15","13","13","23","1","1",".244",".318",".347",".666",".293","599.4","","2.64","0.85","1.55","7927"
"Taylor Jones","HOU","9","37","34","8","2","0","1","4","4","3","10","0","0",".224",".295",".376",".671",".293","999.0","","3.43","3.95","1.85","19533"
"Vimael Machin","OAK","32","123","109","26","5","0","1","13","10","13","20","1","0",".241",".323",".331",".654",".293","999.0","","2.02","1.99","1.62","17684"
"Travis Blankenhorn","SEA","8","33","31","7","2","0","1","3","4","2","7","0","0",".239",".293",".381",".674",".293","598.5","","3.80","3.11","1.90","18395"
"Andy Ibanez","TEX","14","57","52","12","3","0","1","6","5","4","12","1","0",".241",".301",".373",".674",".293","999.0","","0.69","0.64","1.83","18819"
"Alex Blandino","CIN","24","96","81","17","4","0","2","11","8","11","28","1","0",".212",".316",".337",".653",".293","999.0","","2.30","1.21","1.61","16271"
"Neil Walker","","13","46","41","10","2","0","1","5","5","4","11","0","0",".237",".313",".368",".681",".292","999.0","","2.20","2.16","1.84","7539"
"Jorge Alfaro","MIA","100","371","343","82","14","1","12","37","44","18","127","4","2",".238",".292",".386",".678",".292","259.2","","3.96","0.11","0.69","12180"
"Gerardo Parra","WSN","13","53","48","12","2","0","1","6","6","3","10","1","0",".249",".304",".366",".669",".292","999.0","","2.12","1.12","1.85","8553"
"Rougned Odor","NYY","83","314","285","60","13","1","16","39","49","23","92","4","3",".209",".275",".429",".703",".292","553.2","","9.42","-0.31","0.67","12282"
"Alex Jackson","ATL","27","92","84","17","4","0","4","11","12","5","35","0","0",".207",".271",".411",".682",".292","599.8","","4.27","1.17","1.52","17276"
"Jonathan Davis","TOR","20","75","66","15","3","0","2","9","7","6","21","2","0",".222",".305",".357",".661",".292","999.0","","3.62","2.08","1.74","15104"
"Robinson Chirinos","NYY","16","53","46","10","2","0","2","6","7","5","15","0","0",".213",".302",".358",".660",".292","999.0","","2.91","2.10","1.75","3142"
"Samuel Huff","TEX","21","77","73","17","3","0","3","9","9","4","28","0","0",".230",".278",".399",".677",".292","999.0","","5.78","1.35","1.69","22209"
"Bradley Zimmer","CLE","49","170","150","34","7","0","4","19","15","15","57","6","1",".224",".307",".365",".672",".292","599.6","","5.73","0.74","1.51","16221"
"Luis Torrens","SEA","82","303","274","68","15","1","6","28","31","24","61","1","1",".247",".311",".369",".680",".292","562.7","","2.31","0.99","1.00","15905"
"Jared Oliva","PIT","63","243","222","54","11","2","3","26","20","17","61","12","3",".244",".305",".358",".663",".291","999.0","","9.63","0.45","1.68","19968"
"Bret Boswell","COL","7","30","28","6","1","0","1","3","3","2","10","0","0",".230",".283",".393",".677",".291","999.0","","4.19","3.36","1.90","sa918769"
"Rafael Ortega","CHC","11","45","41","10","2","0","1","5","4","4","9","1","0",".235",".304",".358",".662",".291","999.0","","5.24","3.32","1.88","10323"
"Orlando Arcia","ATL","121","457","419","104","19","2","12","46","49","31","88","6","3",".248",".302",".386",".688",".291","576.2","","2.49","-1.37","0.58","13185"
"Luis Rengifo","LAA","23","86","75","17","3","0","1","10","7","8","19","2","1",".228",".313",".337",".650",".290","600.9","","3.12","3.33","1.73","19858"
"Joshua Palacios","TOR","10","43","39","9","2","0","1","5","4","4","11","1","0",".235",".302",".359",".661",".290","999.0","","3.12","3.15","1.88","19818"
"Greg Allen","NYY","10","28","25","6","1","0","1","4","3","2","7","2","0",".238",".303",".356",".659",".290","999.0","","5.62","2.27","1.96","16623"
"Cedric Mullins II","BAL","90","355","320","76","15","3","7","41","30","24","72","13","3",".239",".296",".369",".665",".290","476.3","","5.05","0.29","1.29","17929"
"Martin Maldonado","HOU","97","357","313","66","12","0","11","39","39","33","98","1","1",".212",".300",".356",".657",".290","549.1","","1.80","0.55","0.48","6887"
"Jazz Chisholm","MIA","122","467","418","88","15","4","16","54","51","42","149","14","4",".209",".288",".375",".663",".289","999.0","","3.68","0.17","1.21","20454"
"Jonathan Arauz","BOS","7","28","26","6","2","0","0","3","3","2","6","0","0",".238",".298",".364",".662",".289","600.2","","2.99","3.58","1.92","20275"
"Tyler Wade","NYY","67","219","195","45","9","1","4","29","20","19","52","8","2",".229",".303",".351",".655",".289","599.8","","3.87","0.66","1.35","15730"
"Lewin Diaz","MIA","15","58","54","12","3","0","2","6","7","3","14","0","0",".231",".277",".400",".676",".289","999.0","","2.51","2.38","1.77","18365"
"Donovan Walton","SEA","7","29","26","6","1","0","0","3","2","3","6","0","0",".244",".315",".333",".647",".289","999.0","","3.45","1.62","1.93","19314"
"Daz Cameron","DET","19","77","70","16","3","1","2","8","7","6","22","2","1",".224",".296",".362",".658",".289","600.9","","2.94","2.56","1.75","18353"
"Yolmer Sanchez","ATL","54","195","176","44","11","1","2","19","16","15","43","1","1",".249",".312",".362",".673",".289","599.8","","5.67","1.03","1.45","11602"
"Sheldon Neuse","LAD","10","43","39","9","2","0","1","4","4","3","13","0","0",".237",".287",".381",".669",".288","600.9","","5.70","4.23","1.86","19635"
"Ehire Adrianza","ATL","41","142","127","30","6","1","2","17","13","12","30","1","1",".238",".308",".348",".656",".288","600.2","","3.59","-0.52","1.50","8418"
"Sean Rodriguez","","7","26","23","5","1","0","1","3","3","3","9","0","0",".211",".295",".380",".675",".288","999.0","","1.02","0.80","1.90","6589"
"Ender Inciarte","ATL","74","284","253","61","11","2","4","34","26","24","48","9","3",".242",".312",".347",".659",".288","598.9","","2.93","1.68","1.30","4922"
"Mickey Moniak","PHI","20","69","64","15","3","1","2","8","8","5","19","1","0",".230",".285",".380",".665",".288","999.0","","3.07","3.97","1.75","19956"
"Yu-Cheng Chang","CLE","28","93","84","18","4","0","3","11","10","8","26","1","0",".218",".293",".362",".655",".287","600.5","","3.83","1.37","1.60","14773"
"Zack Short","DET","5","20","18","4","1","0","1","2","2","2","6","0","0",".207",".297",".354",".651",".287","999.0","","3.47","3.58","1.93","19562"
"Nicky Lopez","KCR","70","277","250","62","11","2","2","29","22","21","43","2","2",".249",".312",".332",".644",".287","599.3","","3.37","0.03","1.24","19339"
"Michael A. Taylor","KCR","93","321","294","67","16","1","9","36","35","23","94","7","3",".228",".287",".388",".675",".287","555.6","","2.07","1.10","0.94","11489"
"Jordy Mercer","WSN","23","88","80","19","4","0","2","9","9","6","17","0","0",".239",".299",".374",".673",".286","999.0","","3.92","2.53","1.69","6547"
"William Contreras","ATL","18","68","63","15","3","0","1","7","7","5","17","0","0",".244",".300",".352",".652",".286","596.5","","2.35","0.19","1.77","20503"
"Franklin Barreto","LAA","25","87","80","18","4","0","3","11","10","5","31","2","1",".218",".276",".386",".661",".286","600.9","","3.73","3.39","1.65","15519"
"Jason Martin","TEX","6","23","21","5","1","0","0","3","2","2","6","0","0",".236",".294",".359",".652",".285","999.0","","3.89","3.43","1.94","16429"
"Tim Lopes","MIL","16","58","53","13","3","0","0","6","6","4","12","2","1",".251",".307",".335",".642",".285","999.0","","6.04","2.69","1.88","14137"
"Anthony Alford","PIT","90","322","293","66","13","2","7","35","31","24","99","16","4",".224",".292",".355",".647",".285","580.0","","4.18","0.33","1.52","14329"
"Albert Pujols","LAD","79","335","310","72","13","0","12","35","46","20","50","1","0",".232",".281",".391",".672",".284","579.6","","4.15","-0.04","0.61","1177"
"Jonathan Lucroy","ATL","25","92","83","19","3","0","2","10","10","7","15","0","0",".233",".298",".355",".652",".284","600.4","","3.33","1.26","1.63","7870"
"Edmundo Sosa","STL","24","93","87","21","4","0","2","11","9","4","20","1","0",".242",".289",".362",".651",".284","999.0","","4.28","2.11","1.69","17022"
"Matt Wieters","","24","83","74","16","3","0","3","8","10","7","20","0","0",".220",".290",".376",".666",".283","999.0","","0.58","1.60","1.65","4298"
"Yermin Mercedes","CHW","9","28","25","6","1","0","1","3","4","2","5","0","0",".224",".284",".369",".653",".283","600.6","","3.67","2.48","1.88","17423"
"Jorge Bonifacio","PHI","10","36","32","7","1","0","1","4","4","2","10","0","0",".224",".284",".365",".649",".283","999.0","","5.67","1.24","1.87","12174"
"Thairo Estrada","SFG","17","60","55","13","2","0","2","7","6","3","14","1","0",".235",".281",".369",".650",".283","999.0","","2.07","3.85","1.80","16426"
"Skye Bolt","OAK","6","22","20","4","1","0","1","3","3","2","7","1","0",".212",".283",".362",".645",".282","999.0","","3.36","2.49","1.92","17723"
"Santiago Espinal","TOR","11","41","37","10","2","0","0","5","4","2","8","1","0",".256",".301",".342",".644",".282","999.0","","3.15","3.33","1.91","19997"
"Seth Brown","OAK","51","158","145","32","7","1","4","18","19","11","49","1","0",".222",".280",".369",".650",".282","600.9","","5.26","1.13","1.28","18171"
"Jake Rogers","DET","20","78","69","14","3","0","3","8","8","7","24","0","0",".202",".284",".358",".642",".282","600.6","","3.52","3.13","1.65","19452"
"Sam Haggerty","SEA","15","62","54","12","3","1","1","7","5","6","19","3","1",".217",".303",".327",".631",".282","600.7","","3.04","0.89","1.85","18054"
"P.J. Higgins","CHC","8","32","29","7","1","0","1","3","3","3","7","0","0",".228",".296",".344",".640",".282","999.0","","2.98","2.60","1.90","18433"
"Cam Gallagher","KCR","45","157","142","33","7","0","3","16","15","12","28","0","0",".236",".299",".339",".638",".282","598.7","","1.84","1.07","1.43","12981"
"Harold Castro","DET","47","178","168","43","6","1","2","17","16","9","38","2","1",".259",".296",".348",".644",".282","599.7","","3.40","0.55","1.55","14691"
"Elehuris Montero","COL","8","29","27","6","1","0","1","3","3","2","9","0","0",".224",".273",".378",".651",".282","599.0","","5.82","2.29","1.91","sa872477"
"Michael Hermosillo","CHC","13","34","30","6","1","0","1","4","3","3","9","2","0",".213",".296",".338",".635",".282","999.0","","4.19","1.55","1.94","16285"
"Chadwick Tromp","SFG","6","23","21","5","1","0","1","2","3","2","6","0","0",".239",".291",".355",".646",".281","600.9","","2.39","1.47","1.94","16953"
"Gavin Sheets","CHW","8","31","29","7","1","0","0","4","5","3","7","0","0",".246",".310",".316",".626",".281","999.0","","5.41","2.19","1.88","sa829797"
"Max Schrock","CIN","19","64","59","14","3","0","1","7","6","5","13","1","0",".242",".304",".329",".633",".281","999.0","","2.28","1.61","1.82","17750"
"Cole Tucker","PIT","54","201","183","42","9","1","3","23","18","15","47","4","1",".232",".292",".350",".642",".281","600.1","","2.36","1.33","1.33","17326"
"Hernan Perez","MIL","22","80","75","18","3","0","2","9","9","4","19","1","0",".243",".286",".383",".668",".281","999.0","","3.32","2.78","1.75","5751"
"Bryan Holaday","ARI","18","41","38","9","2","0","1","4","4","3","9","0","0",".225",".283",".360",".644",".281","999.0","","1.89","0.00","1.85","11287"
"Justin Bour","SFG","32","111","99","19","4","0","5","12","14","11","31","0","0",".196",".283",".380",".663",".281","999.0","","0.00","0.00","1.42","9744"
"Albert Almora Jr.","NYM","57","160","148","36","7","1","4","18","16","9","31","1","1",".244",".288",".371",".659",".281","600.7","","2.42","1.02","1.44","14109"
"Dustin Garneau","DET","12","41","36","7","2","0","1","4","4","4","12","0","0",".200",".284",".352",".636",".281","999.0","","1.88","1.28","1.83","9433"
"Delino DeShields","TEX","21","70","63","15","2","0","0","8","5","6","17","3","1",".242",".313",".311",".623",".281","600.7","","3.39","3.57","1.87","11379"
"Charlie Culberson","TEX","74","206","191","44","9","1","6","22","22","11","63","1","1",".228",".278",".370",".648",".281","999.0","","4.20","0.07","1.17","3298"
"Reese McGuire","TOR","27","96","87","20","4","0","3","10","10","7","20","0","0",".226",".282",".361",".643",".280","601.0","","3.22","1.07","1.62","15674"
"Sam Travis","SEA","6","23","21","5","1","0","0","2","2","2","6","0","0",".242",".298",".335",".633",".280","999.0","","6.55","1.60","1.95","16263"
"Roman Quinn","PHI","70","251","229","52","9","3","5","31","21","17","76","19","4",".226",".288",".350",".638",".280","564.9","","3.15","0.28","1.92","13546"
"Jahmai Jones","BAL","29","112","102","24","4","0","2","12","10","9","25","1","1",".231",".294",".339",".634",".280","600.9","","2.87","0.32","1.62","18872"
"Ronald Torreyes","PHI","11","37","35","9","2","0","1","4","4","1","5","0","0",".248",".280",".366",".646",".279","999.0","","2.24","1.58","1.90","11400"
"Luis Barrera","OAK","9","36","34","8","1","1","0","4","3","2","8","1","0",".252",".292",".349",".641",".279","999.0","","2.72","2.04","1.94","19615"
"Roberto Perez","CLE","99","371","324","66","11","1","11","34","37","36","116","0","0",".203",".289",".342",".630",".279","535.4","","2.94","-0.76","0.59","2900"
"Nick Gordon","MIN","5","20","19","5","1","0","0","2","2","1","5","0","0",".247",".296",".338",".635",".279","999.0","","5.06","3.89","1.96","16337"
"Rafael Marchan","PHI","8","30","28","7","2","0","0","3","3","2","5","0","0",".248",".299",".333",".632",".279","999.0","","1.45","0.93","1.92","21646"
"Jacob Nottingham","SEA","33","119","107","22","5","0","4","12","14","9","40","1","1",".203",".279",".354",".634",".278","600.5","","1.53","2.51","1.44","16448"
"Rene Rivera","CLE","7","23","21","5","1","0","1","2","3","1","8","0","0",".219",".277",".383",".660",".278","999.0","","2.01","2.90","1.92","3648"
"Dee Gordon","CHC","15","49","46","12","2","1","0","6","4","2","7","2","1",".265",".302",".329",".631",".278","578.9","","8.49","1.38","1.95","8203"
"Austin Romine","CHC","52","192","180","43","8","0","5","19","24","9","54","0","0",".239",".278",".364",".642",".278","595.3","","2.58","0.25","1.24","5491"
"Steven Duggar","SFG","14","51","46","11","2","0","1","5","4","4","14","1","1",".231",".297",".329",".626",".278","999.0","","2.36","3.36","1.86","17719"
"Sergio Alcantara","CHC","16","46","42","10","1","0","1","5","3","4","9","0","0",".232",".301",".320",".620",".278","999.0","","2.30","1.22","1.86","16417"
"Michael Perez","PIT","57","190","171","37","8","0","4","17","22","16","51","0","0",".219",".288",".343",".631",".278","600.8","","2.32","-0.04","1.19","12977"
