"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Alejandro Kirk","TOR","85","327","291","79","17","1","9","38","40","31","48","1","1",".272",".348",".427",".774",".336","285.1","","6.89","-0.94","1.03","22581"
"Christian Walker","ARI","135","565","506","129","28","2","23","75","76","50","137","3","2",".256",".328",".458",".785",".336","209.6","","3.27","-0.69","0.41","13419"
"Wilmer Flores","SFG","82","324","298","82","17","1","13","38","43","19","45","1","0",".276",".324",".466",".790",".336","484.7","","4.60","0.56","1.04","5827"
"Carlos Santana","KCR","143","608","509","122","24","1","21","78","75","92","97","1","1",".239",".356",".418",".774",".336","294.7","","1.97","-1.03","0.73","2396"
"Nolan Jones","CLE","8","34","30","7","1","0","1","5","4","4","11","0","0",".247",".345",".426",".772",".336","591.9","","5.35","3.83","1.89","sa917941"
"Chris Taylor","LAD","129","523","460","117","27","4","17","69","65","52","142","8","3",".255",".335",".445",".780",".336","233.5","","3.22","-0.95","0.20","13757"
"Tim Anderson","CHW","147","632","598","173","31","3","22","95","70","26","141","17","6",".289",".322",".463",".786",".335","43.3","","3.50","-1.54","0.88","15172"
"Austin Slater","SFG","79","295","256","65","12","2","9","37","29","32","76","12","2",".254",".348",".416",".765",".335","532.7","","4.37","0.54","1.39","16153"
"Teoscar Hernandez","TOR","138","571","517","126","24","3","31","78","83","47","177","11","3",".244",".310",".482",".791",".335","85.1","","3.70","-0.54","0.84","13066"
"Tommy La Stella","SFG","125","483","432","119","23","2","12","62","54","44","43","2","1",".277",".348",".422",".770",".335","393.6","","2.92","-1.12","0.81","12371"
"Jared Walsh","LAA","114","463","415","105","21","2","22","61","67","36","120","0","0",".252",".317",".472",".789",".335","241.4","","4.56","0.15","0.45","18607"
"Garrett Cooper","MIA","87","358","323","86","17","1","13","44","45","29","87","0","0",".267",".335",".438",".773",".334","550.2","","4.87","0.39","0.80","15279"
"Jordan Luplow","CLE","58","223","195","48","11","1","9","29","27","24","50","2","1",".244",".332",".445",".777",".334","600.9","","2.29","0.91","1.10","16424"
"Mike Brosseau","TBR","72","263","237","62","13","1","10","32","33","19","70","3","1",".260",".327",".451",".779",".334","524.8","","7.92","0.11","1.10","19683"
